(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79)
Model;bCMS;_M1
Generalization;C_933_G_2;(not _F61)
Property;C_932_P_73;(not _F62)
Property;C_931_P_72;(not _F62)
Class;C_930_RoutePoliceCar;(not _F62)
Property;Cr_9608;_F62
Property;C_929_P_71;(not _F62)
Property;C_928_P_70;(not _F62)
Association;Cr_9607;_F62
Association;Cr_9606;_F62
Property;C_927_P_69;(not _F62)
Property;C_926_P_68;(not _F62)
Property;C_925_P_67;(not _F62)
Property;C_924_P_66;(not _F62)
Property;Cr_9605;_F63
Property;Cr_9604;_F63
Comment;Cr_9603;_F63
Property;C_923_P_65;(not _F63)
Property;Cr_9602;_F63
Transition;Cr_9601;_F63
Class;C_922_RoutePlan;(not _F63)
Generalization;C_921_G_1;(not _F63)
Property;C_920_P_64;(not _F63)
Region;Cr_9600;_F63
Property;C_919_P_63;(not _F63)
Transition;Cr_9599;_F63
Class;C_918_RouteFireTruck;(not _F64)
Class;Cr_9598;_F64
Association;Cr_9597;_F64
Association;Cr_9596;_F64
Property;Cr_9595;_F64
Property;C_917_P_62;(not _F64)
Class;Cr_9594;_F64
Property;C_916_P_61;(not _F64)
Class;C_915_Route;(not _F64)
Comment;Cr_9593;_F64
Property;Cr_9592;_F64
Property;C_914_P_60;(not _F64)
Property;Cr_9591;_F65
Property;C_913_P_59;(not _F65)
Comment;Cr_9590;_F65
Class;Cr_9589;_F65
Property;C_912_P_58;(not _F65)
Class;Cr_9588;_F65
Comment;Cr_9587;_F65
Property;C_911_P_57;(not _F65)
Comment;Cr_9586;_F65
Comment;Cr_9585;_F65
Transition;Cr_9584;_F65
Property;C_910_P_56;(not _F65)
Property;C_909_P_55;(not _F66)
Property;C_908_P_54;(not _F66)
Class;Cr_9583;_F66
Property;Cr_9582;_F66
Comment;Cr_9581;_F66
Class;C_907_PSCSystem;(not _F66)
Property;Cr_9580;_F66
Comment;Cr_9579;_F66
Region;Cr_9578;_F66
Property;C_906_P_53;(not _F66)
Property;C_905_P_52;(not _F66)
Property;C_904_P_51;(not _F66)
Comment;Cr_9577;_F67
Property;C_903_P_50;(not _F67)
Property;Cr_9576;_F67
Property;C_902_P_49;(not _F67)
Property;Cr_9575;_F67
Class;C_901_PScoordinator;(not _F67)
Property;C_900_P_48;(not _F67)
Class;Cr_9574;_F67
Property;C_899_P_47;(not _F67)
Class;Cr_9573;_F67
Comment;Cr_9572;_F67
Comment;Cr_9571;_F67
Property;C_898_P_46;(not _F68)
Class;Cr_9570;_F68
Region;Cr_9569;_F68
Transition;Cr_9568;_F68
Class;C_897_PoliceOfficer;(not _F68)
Region;Cr_9567;_F68
Property;Cr_9566;_F68
Property;C_896_P_45;(not _F68)
Property;C_895_P_44;(not _F68)
Property;C_894_P_43;(not _F68)
Transition;Cr_9565;_F68
Comment;Cr_9564;_F68
Property;C_893_P_42;(not _F69)
Region;Cr_9563;_F69
Transition;Cr_9562;_F69
Association;Cr_9561;_F69
Class;C_892_PoliceCar;(not _F69)
Association;Cr_9560;_F69
Class;Cr_9559;_F69
Property;C_891_P_41;(not _F69)
Comment;Cr_9558;_F69
Property;C_890_P_40;(not _F69)
Transition;Cr_9557;_F69
Class;Cr_9556;_F69
Class;C_889_GPS;(not _F70)
Comment;Cr_9555;_F70
Property;C_888_P_39;(not _F70)
Class;C_887_GovermentAgency;(not _F70)
Transition;Cr_9554;_F70
Property;Cr_9553;_F70
Comment;Cr_9552;_F70
Property;C_886_P_38;(not _F70)
Property;C_885_P_37;(not _F70)
Transition;Cr_9551;_F70
Property;C_884_P_36;(not _F70)
Property;C_883_P_35;(not _F70)
Property;C_882_P_34;(not _F71)
Class;Cr_9550;_F71
Property;Cr_9549;_F71
Property;C_881_P_33;(not _F71)
Class;C_880_FSCSystem;(not _F71)
Property;C_879_P_32;(not _F71)
Property;C_878_P_31;(not _F71)
Region;Cr_9548;_F71
Property;C_877_P_30;(not _F71)
Region;Cr_9547;_F71
Property;C_876_P_29;(not _F71)
Association;Cr_9546;_F71
Association;Cr_9545;_F72
Property;C_875_P_28;(not _F72)
Association;Cr_9544;_F72
Comment;Cr_9543;_F72
Class;C_874_FScoordinator;(not _F72)
Transition;Cr_9542;_F72
Property;C_873_P_27;(not _F72)
Association;Cr_9541;_F72
Transition;Cr_9540;_F72
Property;C_872_P_26;(not _F72)
Transition;Cr_9539;_F72
Property;C_871_P_25;(not _F72)
Class;Cr_9538;_F73
Region;Cr_9537;_F73
Class;Cr_9536;_F73
Property;C_870_P_24;(not _F73)
Class;C_869_FireTruck;(not _F73)
Property;C_868_P_23;(not _F73)
Class;Cr_9535;_F73
Property;C_867_P_22;(not _F73)
Property;C_866_P_21;(not _F73)
Class;C_865_Fireman;(not _F73)
Property;C_864_P_20;(not _F73)
Property;C_863_P_19;(not _F73)
Property;C_862_P_18;(not _F74)
Property;Cr_9534;_F74
Property;C_861_P_17;(not _F74)
Property;C_860_P_16;(not _F74)
Property;C_859_P_15;(not _F74)
Property;C_858_P_14;(not _F74)
Class;Cr_9533;_F74
Property;C_857_P_13;(not _F74)
Property;Cr_9532;_F74
Property;C_856_P_12;(not _F74)
Class;Cr_9531;_F74
Class;C_855_Crisis;(not _F74)
Property;C_854_P_11;(not _F75)
Comment;Cr_9530;_F75
Association;Cr_9529;_F75
Property;C_853_P_10;(not _F75)
Property;C_852_P_9;(not _F75)
Class;C_851_Credential;(not _F75)
Association;Cr_9528;_F75
Property;C_850_P_8;(not _F75)
Property;C_849_P_7;(not _F75)
Property;Cr_9527;_F75
Class;C_848_CommunicationInfrastructure;(not _F75)
Property;C_847_P_6;(not _F75)
Region;Cr_9526;_F76
Association;Cr_9525;_F76
Class;C_846_CommunicationCompromiser;(not _F76)
Property;C_845_P_5;(not _F76)
Property;C_844_P_4;(not _F76)
Region;Cr_9524;_F76
Region;Cr_9523;_F76
Property;C_843_P_3;(not _F76)
Comment;Cr_9522;_F76
Property;C_842_P_2;(not _F76)
Property;C_841_P_1;(not _F76)
Class;C_840_BCMSSystem;(not _F76)
Association;C_839_communicationInfrastructure_use_bCMSSystem;(not _F77)
Association;C_838_timeoutLog_report_fScoordinator;(not _F77)
Association;C_837_timeoutLog_report_pScoordinator;(not _F77)
Property;Cr_9521;_F77
Class;Cr_9520;_F77
Class;Cr_9519;_F77
Association;C_836_bCMSSystem_regulate_govermentAgency;(not _F77)
Region;Cr_9518;_F77
Association;C_835_timeoutLog_register_fSCSystem;(not _F77)
Association;C_834_timeoutLog_register_pSCSystem;(not _F77)
Region;Cr_9517;_F77
Association;C_833_routePlan_receive_fSCSystem;(not _F77)
Association;C_832_fireTrucks_manage_fScoordinator;(not _F78)
Association;C_831_policeCars_manage_pScoordinator;(not _F78)
Class;Cr_9516;_F78
Transition;Cr_9515;_F78
Association;C_830_pScoordinator_interact_pSCSystem;(not _F78)
Association;C_829_victims_interact_firemen;(not _F78)
Region;Cr_9514;_F78
Transition;Cr_9513;_F78
Association;C_828_witnesses_interact_policeOfficers;(not _F78)
Association;C_827_policeOfficers_interact_pScoordinator;(not _F78)
Class;Cr_9512;_F78
Association;C_826_witnesses_interact_firemen;(not _F78)
Association;C_825_fScoordinator_interact_fSCSystem;(not _F79)
Class;Cr_9511;_F79
Transition;Cr_9510;_F79
Comment;Cr_9509;_F79
Region;Cr_9508;_F79
Association;C_824_firemen_interact_fScoordinator;(not _F79)
Association;C_823_victims_interact_policeOfficers;(not _F79)
Association;C_822_crisis_handle_bCMSSystem;(not _F79)
Association;C_821_routePoliceCar_follow_policeCar;(not _F79)
Association;Cr_9507;_F79
Association;Cr_9506;_F79
Transition;Cr_9505;_F79
