Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
create_COMMENT_in_any_DOMAIN,3,1285,80,13,30.786488,6350,82,77.4390243902439,1.0
create_COMMENT_in_any_DOMAIN,3,1285,100,13,32.572588,7084,102,69.45098039215686,1.0
create_COMMENT_in_any_DOMAIN,4,2569,20,13,74.356088,6668,22,303.09090909090907,1.0
create_COMMENT_in_any_DOMAIN,4,2569,40,13,78.145156,7683,42,182.92857142857142,1.0
create_COMMENT_in_any_DOMAIN,4,2569,60,13,77.032081,8663,62,139.7258064516129,1.0
create_COMMENT_in_any_DOMAIN,4,2569,80,13,81.123551,9669,82,117.91463414634147,1.0
create_COMMENT_in_any_DOMAIN,1,322,40,13,7.034958,2008,42,47.80952380952381,1.0
create_COMMENT_in_any_DOMAIN,4,2569,100,13,83.20645,10538,102,103.31372549019608,1.0
create_COMMENT_in_any_DOMAIN,1,322,60,13,7.174431,2264,62,36.516129032258064,1.0
create_COMMENT_in_any_DOMAIN,1,322,80,13,6.917076,2349,82,28.646341463414632,1.0
create_COMMENT_in_any_DOMAIN,1,322,100,13,7.244838,2357,102,23.107843137254903,1.0
create_COMMENT_in_any_DOMAIN,2,643,20,13,13.368171,2199,22,99.95454545454545,1.0
create_COMMENT_in_any_DOMAIN,2,643,40,13,15.739313,3005,42,71.54761904761905,1.0
create_COMMENT_in_any_DOMAIN,2,643,60,13,16.099936,3667,62,59.145161290322584,1.0
create_COMMENT_in_any_DOMAIN,2,643,80,13,15.922052,4300,82,52.4390243902439,1.0
delete_COMMENT_from_MODEL,1,322,20,13,9.569046,1375,22,62.5,1.0
delete_COMMENT_from_MODEL,2,643,100,13,15.566861,4629,102,45.38235294117647,1.0
delete_COMMENT_from_MODEL,3,1285,20,13,30.758079,3710,22,168.63636363636363,1.0
delete_COMMENT_from_MODEL,3,1285,40,13,34.564586,4743,42,112.92857142857143,1.0
delete_COMMENT_from_MODEL,3,1285,60,13,33.49027,5667,62,91.40322580645162,1.0
delete_COMMENT_from_MODEL,3,1285,80,13,31.78509,6347,82,77.40243902439025,1.0
delete_COMMENT_from_MODEL,3,1285,100,13,34.985875,7081,102,69.42156862745098,1.0
delete_COMMENT_from_MODEL,4,2569,20,13,84.302773,6665,22,302.95454545454544,1.0
delete_COMMENT_from_MODEL,4,2569,40,13,85.316859,7680,42,182.85714285714286,1.0
delete_COMMENT_from_MODEL,4,2569,60,13,86.236232,8660,62,139.67741935483872,1.0
delete_COMMENT_from_MODEL,4,2569,80,13,99.573882,9666,82,117.8780487804878,1.0
delete_COMMENT_from_MODEL,1,322,40,13,8.609901,2000,42,47.61904761904762,1.0
delete_COMMENT_from_MODEL,4,2569,100,13,91.298566,10535,102,103.2843137254902,1.0
delete_COMMENT_from_MODEL,1,322,60,13,7.500613,2256,62,36.38709677419355,1.0
delete_COMMENT_from_MODEL,1,322,80,13,7.058769,2341,82,28.548780487804876,1.0
delete_COMMENT_from_MODEL,1,322,100,13,7.6156,2346,102,23.0,1.0
delete_COMMENT_from_MODEL,2,643,20,13,12.592659,2196,22,99.81818181818181,1.0
delete_COMMENT_from_MODEL,2,643,40,13,12.41594,3002,42,71.47619047619048,1.0
delete_COMMENT_from_MODEL,2,643,60,13,12.785923,3663,62,59.08064516129032,1.0
delete_COMMENT_from_MODEL,2,643,80,13,14.017659,4295,82,52.3780487804878,1.0
delete_Class_from_Domain,1,322,20,13,7.215089,1375,22,62.5,1.0
delete_Class_from_Domain,2,643,100,13,13.922216,4629,102,45.38235294117647,1.0
delete_Class_from_Domain,3,1285,20,13,30.6193,3708,22,168.54545454545453,1.0
delete_Class_from_Domain,3,1285,40,13,29.733301,4741,42,112.88095238095238,1.0
delete_Class_from_Domain,3,1285,60,13,30.416713,5665,62,91.37096774193549,1.0
delete_Class_from_Domain,3,1285,80,13,32.588461,6347,82,77.40243902439025,1.0
delete_Class_from_Domain,3,1285,100,13,30.636335,7081,102,69.42156862745098,1.0
delete_Class_from_Domain,4,2569,20,13,79.041448,6663,22,302.8636363636364,1.0
delete_Class_from_Domain,4,2569,40,13,77.751049,7678,42,182.8095238095238,1.0
delete_Class_from_Domain,4,2569,60,13,78.125386,8658,62,139.6451612903226,1.0
delete_Class_from_Domain,4,2569,80,13,86.554103,9664,82,117.85365853658537,1.0
delete_Class_from_Domain,1,322,40,13,8.700737,2000,42,47.61904761904762,1.0
delete_Class_from_Domain,4,2569,100,13,103.426127,10533,102,103.26470588235294,1.0
delete_Class_from_Domain,1,322,60,13,7.804297,2255,62,36.37096774193548,1.0
delete_Class_from_Domain,1,322,80,13,7.825919,2340,82,28.536585365853657,1.0
delete_Class_from_Domain,1,322,100,13,7.639403,2345,102,22.99019607843137,1.0
delete_Class_from_Domain,2,643,20,13,13.460449,2194,22,99.72727272727273,1.0
delete_Class_from_Domain,2,643,40,13,12.833314,3000,42,71.42857142857143,1.0
delete_Class_from_Domain,2,643,60,13,13.265329,3663,62,59.08064516129032,1.0
delete_Class_from_Domain,2,643,80,13,15.15361,4295,82,52.3780487804878,1.0
delete_Domain_from_Model,1,322,20,13,8.023363,1375,22,62.5,1.0
delete_Domain_from_Model,2,643,100,13,15.404965,4629,102,45.38235294117647,1.0
delete_Domain_from_Model,3,1285,20,13,30.976562,3710,22,168.63636363636363,1.0
delete_Domain_from_Model,3,1285,40,13,31.767744,4743,42,112.92857142857143,1.0
delete_Domain_from_Model,3,1285,60,13,35.742837,5667,62,91.40322580645162,1.0
delete_Domain_from_Model,3,1285,80,13,35.768471,6347,82,77.40243902439025,1.0
delete_Domain_from_Model,3,1285,100,13,35.574963,7081,102,69.42156862745098,1.0
delete_Domain_from_Model,4,2569,20,13,86.680654,6665,22,302.95454545454544,1.0
delete_Domain_from_Model,4,2569,40,13,85.42564,7680,42,182.85714285714286,1.0
delete_Domain_from_Model,4,2569,60,13,83.496155,8660,62,139.67741935483872,1.0
delete_Domain_from_Model,4,2569,80,13,88.181021,9666,82,117.8780487804878,1.0
delete_Domain_from_Model,1,322,40,13,7.210946,2000,42,47.61904761904762,1.0
delete_Domain_from_Model,4,2569,100,13,84.923521,10535,102,103.2843137254902,1.0
delete_Domain_from_Model,1,322,60,13,7.250272,2256,62,36.38709677419355,1.0
delete_Domain_from_Model,1,322,80,13,7.529465,2341,82,28.548780487804876,1.0
delete_Domain_from_Model,1,322,100,13,7.429309,2346,102,23.0,1.0
delete_Domain_from_Model,2,643,20,13,12.754536,2196,22,99.81818181818181,1.0
delete_Domain_from_Model,2,643,40,13,13.074604,3002,42,71.47619047619048,1.0
delete_Domain_from_Model,2,643,60,13,13.529081,3663,62,59.08064516129032,1.0
delete_Domain_from_Model,2,643,80,13,13.93573,4295,82,52.3780487804878,1.0
delete_Transition_from_Region,1,322,20,13,7.341933,1375,22,62.5,1.0
delete_Transition_from_Region,2,643,100,13,14.21643,4629,102,45.38235294117647,1.0
delete_Transition_from_Region,3,1285,20,13,29.988,3710,22,168.63636363636363,1.0
delete_Transition_from_Region,3,1285,40,13,29.630318,4741,42,112.88095238095238,1.0
delete_Transition_from_Region,3,1285,60,13,31.611507,5665,62,91.37096774193549,1.0
delete_Transition_from_Region,3,1285,80,13,32.401889,6347,82,77.40243902439025,1.0
delete_Transition_from_Region,3,1285,100,13,32.389464,7079,102,69.40196078431373,1.0
delete_Transition_from_Region,4,2569,20,13,71.420127,6663,22,302.8636363636364,1.0
delete_Transition_from_Region,4,2569,40,13,77.061778,7678,42,182.8095238095238,1.0
delete_Transition_from_Region,4,2569,60,13,77.403558,8660,62,139.67741935483872,1.0
delete_Transition_from_Region,4,2569,80,13,84.92601,9664,82,117.85365853658537,1.0
delete_Transition_from_Region,1,322,40,13,7.519062,1998,42,47.57142857142857,1.0
delete_Transition_from_Region,4,2569,100,13,87.680124,10533,102,103.26470588235294,1.0
delete_Transition_from_Region,1,322,60,13,8.301441,2256,62,36.38709677419355,1.0
delete_Transition_from_Region,1,322,80,13,7.946503,2341,82,28.548780487804876,1.0
delete_Transition_from_Region,1,322,100,13,7.980081,2348,102,23.019607843137255,1.0
delete_Transition_from_Region,2,643,20,13,13.533302,2196,22,99.81818181818181,1.0
delete_Transition_from_Region,2,643,40,13,13.72608,3000,42,71.42857142857143,1.0
delete_Transition_from_Region,2,643,60,13,14.745515,3663,62,59.08064516129032,1.0
delete_Transition_from_Region,2,643,80,13,13.729303,4295,82,52.3780487804878,1.0
